station,weight,latitude,longitude,elevation,leaflabel
28939,USC00515800,23.0,21.3167,-157.65,164.0,4.0
14310,USR0000AKOY,19.0,66.0083,-157.57,30.5,171.0
14235,USC00507304,5.0,57.6167,-157.5667,14.9,163.0
26721,KR000091490,0.0,1.98,-157.48,3.0,1.0
4581,KRW00020503,0.0,2.0167,-157.4167,3.0,1.0
25216,USC00502692,1.0,58.2167,-157.3833,14.9,163.0
10600,USC00514400,8.0,21.1836,-157.2467,6.1,4.0
3112,USC00516190,5.0,21.1328,-157.2133,307.2,4.0
28907,USC00508554,10.0,61.7,-157.1833,86.9,169.0
10575,USC00508463,9.0,66.8792,-157.1508,61.0,171.0
18377,USW00022534,61.0,21.1544,-157.0961,135.0,4.0
25283,USC00514778,50.0,21.1539,-157.0361,267.3,4.0
29356,USW00026513,1.0,66.9,-157.0333,42.1,171.0
25368,USR0000HLAN,8.0,20.8733,-157.0064,387.1,1.0
25278,USC00513461,0.0,20.7872,-156.9911,11.6,1.0
28929,USC00512896,33.0,21.19,-156.983,9.1,4.0
3223,USR0000HMAK,19.0,21.2033,-156.9661,22.9,4.0
25276,USC00512905,28.0,21.1833,-156.95,21.0,4.0
28936,USC00515275,29.0,20.7894,-156.9486,396.2,1.0
14387,USR0000HMLK,8.0,21.115,-156.9475,833.0,4.0
3541,USW00026501,18.0,64.7367,-156.9344,46.6,171.0
3228,USR0000HWAI,6.0,21.1419,-156.9222,152.4,4.0
28937,USC00515286,77.0,20.8292,-156.9203,493.8,1.0
25282,USC00514660,19.0,20.8333,-156.9167,534.0,1.0
3542,USW00026509,6.0,64.7167,-156.9,38.1,171.0
14214,USC00503212,16.0,64.7408,-156.8756,46.3,171.0
18004,USC00513045,0.0,21.0522,-156.8708,6.1,4.0
14204,USC00502280,3.0,66.9333,-156.8667,82.0,171.0
3060,USC00504964,16.0,66.9,-156.8667,42.7,171.0
10607,USC00516138,2.0,21.0667,-156.8,6.1,4.0
3548,USW00027502,92.0,71.2833,-156.7814,9.4,171.0
3121,USC00518549,14.0,21.145,-156.7328,202.7,4.0
10595,USC00512307,18.0,20.9333,-156.7,2.4,4.0
14275,USC00512317,58.0,20.9333,-156.7,3.0,4.0
3220,USR0000HHON,10.0,20.5089,-156.6817,21.3,1.0
18006,USC00513317,26.0,20.9625,-156.6753,73.2,4.0
25285,USC00515177,60.0,20.8789,-156.6742,11.6,1.0
28943,USC00518407,27.0,20.9286,-156.6736,128.0,4.0
17999,USC00511887,1.0,20.9978,-156.6575,67.1,4.0
18013,USC00515715,6.0,20.9594,-156.6505,298.7,4.0
18097,USR0000HKLL,9.0,20.5436,-156.6408,251.5,1.0
28926,USC00511914,5.0,21.0144,-156.6375,39.6,4.0
14257,USC00508745,7.0,61.7667,-156.6333,-999.9,169.0
22089,USW00025503,87.0,58.6794,-156.6294,19.2,169.0
10627,USR0000AFLT,14.0,62.8228,-156.6139,451.1,172.0
22098,USW00027516,10.0,71.3214,-156.6111,4.6,172.0
18002,USC00512558,21.0,20.5569,-156.575,365.8,1.0
29030,USR0000HHAI,10.0,20.5803,-156.5711,365.8,1.0
29031,USR0000HKAN,10.0,20.5222,-156.5658,248.4,1.0
29032,USR0000HLUA,9.0,20.5625,-156.5631,335.3,1.0
14232,USC00506831,4.0,63.1667,-156.55,-999.9,172.0
14298,USC00519484,28.0,20.8997,-156.5155,164.6,4.0
3118,USC00518060,0.0,20.8156,-156.5072,53.6,1.0
10982,USW00022525,9.0,20.8333,-156.4667,39.9,1.0
14278,USC00514193,14.0,20.7,-156.45,6.1,1.0
6861,USC00514489,6.0,20.7911,-156.4422,48.2,1.0
6870,USC00515842,31.0,20.6419,-156.44,26.8,1.0
28969,USR0000ASTR,20.0,61.6467,-156.4333,80.8,169.0
3501,USW00022516,59.0,20.8997,-156.4286,15.5,1.0
14266,USC00509845,1.0,57.3667,-156.4167,6.1,163.0
6880,USC00518760,0.0,20.6486,-156.3983,579.1,1.0
21662,USC00513910,0.0,20.8611,-156.3828,148.7,1.0
18021,USC00517566,0.0,20.8964,-156.3792,62.5,1.0
6867,USC00515006,64.0,20.7,-156.3667,915.0,1.0
14280,USC00515004,32.0,20.7008,-156.3561,923.5,1.0
25284,USC00515009,2.0,20.7667,-156.3333,-999.9,1.0
18025,USC00518743,0.0,20.7667,-156.3333,929.9,1.0
28934,USC00515000,34.0,20.7583,-156.3211,944.9,1.0
14270,USC00510832,47.0,20.9167,-156.3167,149.0,4.0
28942,USC00517857,11.0,20.9167,-156.3167,149.0,4.0
21654,USC00510995,20.0,20.85,-156.3,640.1,1.0
6852,USC00512630,25.0,20.8461,-156.2739,768.1,1.0
14271,USC00511008,17.0,20.7167,-156.2667,3037.0,1.0
18010,USC00514725,4.0,20.7167,-156.2667,3055.9,1.0
3099,USC00510992,2.0,20.7167,-156.25,2973.9,1.0
28923,USC00511004,70.0,20.7603,-156.2469,2122.0,1.0
18003,USC00512679,108.0,20.8906,-156.2128,213.4,1.0
18023,USC00518336,0.0,20.8256,-156.2128,908.3,1.0
21657,USC00511930,41.0,20.85,-156.1833,390.1,1.0
25279,USC00514091,25.0,20.8294,-156.1681,298.7,1.0
3221,USR0000HKAU,21.0,20.6842,-156.1519,1228.3,1.0
21666,USC00514771,25.0,20.8,-156.15,371.9,1.0
21671,USC00517194,13.0,20.8136,-156.1186,382.5,1.0
3115,USC00516594,3.0,20.7833,-156.0833,-999.9,1.0
14288,USC00516591,10.0,20.7833,-156.0833,487.7,1.0
21643,USC00508930,1.0,63.0,-156.0667,429.8,172.0
28931,USC00514634,12.0,20.65,-156.0667,78.9,1.0
18007,USC00513911,31.0,19.7281,-156.0589,6.1,1.0
22045,USW00021510,15.0,19.7356,-156.0489,13.1,1.0
6875,USC00517000,14.0,20.6617,-156.0442,26.2,1.0
14274,USC00511921,6.0,20.7939,-156.0414,103.9,1.0
28878,USC00504206,2.0,57.5667,-156.0333,7.0,163.0
6865,USC00514764,29.0,19.65,-156.0167,9.1,1.0
28924,USC00511125,55.0,20.7947,-156.0153,22.9,1.0
3107,USC00514765,0.0,19.8297,-155.9845,6.1,1.0
10590,USC00511122,50.0,20.75,-155.9833,36.9,1.0
10594,USC00512156,7.0,19.7533,-155.9714,597.4,1.0
25686,USW00026536,24.0,62.9,-155.9667,293.8,172.0
3133,USR0000ACOT,17.0,65.3458,-155.9361,399.3,172.0
10604,USC00514763,8.0,19.3667,-155.9278,457.2,1.0
6853,USC00512751,74.0,19.5336,-155.9258,457.2,1.0
28920,USC00510344,0.0,19.4167,-155.9167,6.1,1.0
18009,USC00513980,1.0,19.5,-155.9167,442.0,1.0
18008,USC00513977,31.0,19.4917,-155.9117,451.1,1.0
3122,USC00518552,0.0,19.4183,-155.9111,4.6,1.0
18020,USC00516697,42.0,19.4689,-155.9094,121.9,1.0
17998,USC00511557,24.0,19.6347,-155.9078,981.5,1.0
6869,USC00515721,44.0,20.1833,-155.9,3.0,1.0
10597,USC00513146,9.0,19.3167,-155.8833,36.6,1.0
21677,USC00518830,36.0,20.25,-155.8833,18.6,1.0
3117,USC00517166,56.0,19.2706,-155.8747,414.5,1.0
3119,USC00518181,0.0,20.2333,-155.8667,182.9,2.0
18000,USC00512121,4.0,19.2167,-155.85,502.9,2.0
18027,USC00518828,7.0,20.2667,-155.85,27.1,2.0
21772,USR0000HPUW,9.0,19.795,-155.8453,709.0,2.0
21675,USC00518555,0.0,19.7783,-155.8433,768.1,2.0
10591,USC00511339,20.0,20.2403,-155.8389,176.8,2.0
28940,USC00516180,3.0,20.0167,-155.8333,31.1,2.0
14291,USC00518186,6.0,19.9833,-155.8333,14.9,2.0
25295,USC00518422,35.0,20.0256,-155.8219,40.5,2.0
17939,USC00500986,6.0,58.55,-155.8167,11.9,163.0
18030,USC00519142,0.0,19.9189,-155.7981,268.2,2.0
3106,USC00514680,73.0,20.225,-155.7933,164.6,2.0
28944,USC00518652,24.0,19.1047,-155.7867,719.3,2.0
10603,USC00514675,0.0,20.2167,-155.7833,292.9,2.0
25203,USC00501017,2.0,58.55,-155.7833,13.1,163.0
28932,USC00514670,57.0,20.2333,-155.7833,95.1,2.0
10609,USC00516806,58.0,20.2333,-155.75,24.1,2.0
6879,USC00518650,12.0,19.1,-155.75,823.3,2.0
21664,USC00514683,1.0,20.25,-155.75,-999.9,2.0
3225,USR0000HPTK,13.0,19.6669,-155.7078,1641.3,2.0
18099,USR0000HPTW,13.0,19.7717,-155.7022,1307.6,2.0
14282,USC00515260,33.0,20.0131,-155.6686,797.1,2.0
18005,USC00513078,18.0,20.0,-155.6667,812.3,2.0
21663,USC00514625,0.0,19.0667,-155.6667,646.2,2.0
3141,USR0000AHOG,19.0,66.2167,-155.6667,208.8,172.0
21659,USC00513077,29.0,20.0167,-155.6667,814.1,2.0
18032,USC00519557,0.0,20.0333,-155.65,811.1,2.0
14388,USR0000HPTP,11.0,19.7456,-155.6272,1755.6,2.0
10602,USC00514620,36.0,19.0667,-155.6167,320.0,2.0
11034,USW00026510,72.0,62.9575,-155.6103,101.5,172.0
3105,USC00513423,5.0,19.0833,-155.6,563.9,2.0
